Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.27677,-0.00012736,-0.081738,0,0,0,20.9,0.05744,3.2271E-06,0.0042212,0.24804,1.3488E-06,0.28457,0,0,0,0,0,0,package://DROK CK/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://DROK CK/meshes/base_link.STL,,"track_tensioner-8;track_tensioner-7;sus-12;sus-11;sus-10;NUC14SRK_chassis.step-1;sus-3;sus-2;sus-1;track_tensioner-1;timing_tensioner_1-1;base-1;base_back-1;base_front_new-1;base_side_new-1;base_side_new_copy-1;top_asm-1;profile_top_side-1;profile_top_side-2;profile-1;axle_bearing_inside_ass-1;HTPA22S8M150-A-N25.stp-1;GEAKS2.0-36-15-B-10K.stp-2;HTPA22S8M150-A-N25.stp-2;GEAKS2.0-36-15-B-10K.stp-3;NSK_60_28ZZ.stp-1;NSK_60_28ZZ.stp-2;chain_guard_1-1;chain_guard_2-1;chain_guard_3-1;chain_guard_4-1;chain_guard_3-2;BGRR6805DD.stp-1;BGRR6805DD.stp-2;timing_tensioner-1;SSHC-SUS-MS3-3_214.step-1;E-PSFAD4-40-F7-B5-P3-N2.stp-1;timing_tensioner_axle-1;CBCPS5-20.stp-1;E-PSFAD4-40-F7-B5-P3-N2.stp-2;STWS8.stp-1;SSHC-SUS-MS3-3_214.step-2;STWS8.stp-2;C-HBGA30-16.stp-1;track_tensioner-2;timing_tensioner_2-1;timing_tensioner-3;SSHC-SUS-MS3-3_214.step-5;STWS8.stp-5;E-PSFAD4-40-F7-B5-P3-N2.stp-5;E-PSFAD4-40-F7-B5-P3-N2.stp-6;STWS8.stp-6;timing_tensioner_2-3;timing_tensioner_1-3;CBCPS5-20.stp-3;SSHC-SUS-MS3-3_214.step-6;timing_tensioner_axle-3;C-HBGA30-16.stp-3;axle_bearing_inside_ass-2;HTPA22S8M150-A-N25.stp-3;GEAKS2.0-36-15-B-10K.stp-4;HTPA22S8M150-A-N25.stp-4;GEAKS2.0-36-15-B-10K.stp-5;NSK_60_28ZZ.stp-5;NSK_60_28ZZ.stp-6;chain_guard_1-3;chain_guard_2-3;chain_guard_3-5;chain_guard_4-3;chain_guard_3-6;BGRR6805DD.stp-5;BGRR6805DD.stp-6;arm_ass-1/joint_1,2-1/arm_base-1;chain_asm_left-1/SUS40A10_().stp-1;chain_asm_left-1/SUS40A10_().stp-2;chain_asm_left-1/CHET40B-4_c2-1;chain_asm_left-1/chain_2-1;chain_asm_left-1/chain_2-62;chain_asm_left-1/chain_2-63;chain_asm_left-1/chain_2-64;chain_asm_left-1/chain_2-65;chain_asm_left-1/chain_2-66;chain_asm_left-1/chain_2-67;chain_asm_left-1/chain_2-68;chain_asm_left-1/chain_2-69;chain_asm_left-1/chain_2-70;chain_asm_left-1/chain_2-71;chain_asm_left-1/chain_2-72;chain_asm_left-1/chain_2-73;chain_asm_left-1/chain_2-74;chain_asm_left-1/chain_2-75;chain_asm_left-1/chain_2-76;chain_asm_left-1/chain_2-77;chain_asm_left-1/chain_2-78;chain_asm_left-1/chain_2-79;chain_asm_left-1/chain_2-80;chain_asm_left-1/chain_2-81;chain_asm_left-1/chain_2-82;chain_asm_left-1/chain_2-83;chain_asm_left-1/chain_2-84;chain_asm_left-1/chain_2-85;chain_asm_left-1/chain_2-86;chain_asm_left-1/chain_2-87;chain_asm_left-1/chain_2-88;chain_asm_left-1/chain_2-89;chain_asm_left-1/chain_2-90;chain_asm_left-1/chain_2-91;chain_asm_left-1/chain_2-92;chain_asm_left-1/chain_2-93;chain_asm_left-1/chain_2-94;chain_asm_left-1/chain_2-95;chain_asm_left-1/chain_2-96;chain_asm_left-1/chain_2-98;chain_asm_left-1/chain_2-99;chain_asm_left-1/chain_2-100;chain_asm_left-1/chain_2-97;chain_asm_left-1/chain_2-101;chain_asm_left-1/chain_2-102;chain_asm_left-1/chain_2-103;chain_asm_left-1/chain_2-104;chain_asm_left-1/chain_2-105;chain_asm_left-1/chain_2-106;chain_asm_left-1/chain_2-107;chain_asm_left-1/chain_2-108;chain_asm_left-1/chain_2-109;chain_asm_left-1/chain_2-110;chain_asm_left-1/chain_2-111;chain_asm_left-1/chain_2-112;chain_asm_left-1/chain_2-113;chain_asm_left-1/chain_2-114;chain_asm_left-1/chain_2-115;chain_asm_left-1/chain_2-116;chain_asm_left-1/chain_2-117;chain_asm_left-1/chain_2-118;chain_asm_left-1/chain_2-119;chain_asm_left-1/chain_2-120;chain_asm_left-1/chain_2-121;chain_asm_right-1/main_chain_path-1;chain_asm_right-1/SUS40A10_().stp-1;chain_asm_right-1/SUS40A10_().stp-2;chain_asm_right-1/CHET40B-4_c2-1;chain_asm_right-1/chain_1-1;chain_asm_right-1/chain_1-2;chain_asm_right-1/chain_1-3;chain_asm_right-1/chain_1-4;chain_asm_right-1/chain_1-5;chain_asm_right-1/chain_1-6;chain_asm_right-1/chain_1-7;chain_asm_right-1/chain_1-8;chain_asm_right-1/chain_1-9;chain_asm_right-1/chain_1-10;chain_asm_right-1/chain_1-11;chain_asm_right-1/chain_1-12;chain_asm_right-1/chain_1-13;chain_asm_right-1/chain_1-14;chain_asm_right-1/chain_1-15;chain_asm_right-1/chain_1-16;chain_asm_right-1/chain_1-17;chain_asm_right-1/chain_1-18;chain_asm_right-1/chain_1-19;chain_asm_right-1/chain_1-20;chain_asm_right-1/chain_1-21;chain_asm_right-1/chain_1-22;chain_asm_right-1/chain_1-23;chain_asm_right-1/chain_1-24;chain_asm_right-1/chain_1-25;chain_asm_right-1/chain_1-26;chain_asm_right-1/chain_1-27;chain_asm_right-1/chain_1-28;chain_asm_right-1/chain_1-29;chain_asm_right-1/chain_1-30;chain_asm_right-1/chain_1-31;chain_asm_right-1/chain_1-32;chain_asm_right-1/chain_1-33;chain_asm_right-1/chain_1-34;chain_asm_right-1/chain_1-35;chain_asm_right-1/chain_1-36;chain_asm_right-1/chain_1-37;chain_asm_right-1/chain_1-38;chain_asm_right-1/chain_1-39;chain_asm_right-1/chain_1-40;chain_asm_right-1/chain_1-41;chain_asm_right-1/chain_1-42;chain_asm_right-1/chain_1-43;chain_asm_right-1/chain_1-44;chain_asm_right-1/chain_1-45;chain_asm_right-1/chain_1-46;chain_asm_right-1/chain_1-47;chain_asm_right-1/chain_1-48;chain_asm_right-1/chain_1-49;chain_asm_right-1/chain_1-50;chain_asm_right-1/chain_1-51;chain_asm_right-1/chain_1-52;chain_asm_right-1/chain_1-53;chain_asm_right-1/chain_1-54;chain_asm_right-1/chain_1-55;chain_asm_right-1/chain_1-56;chain_asm_right-1/chain_1-57;chain_asm_right-1/chain_1-58;chain_asm_right-1/chain_1-59;chain_asm_right-1/chain_1-60;chain_asm_right-1/CHET40B-4_c2-60",ARM BASE CO,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR,8.0574E-10,-7.7716E-16,-2.5789E-10,0,0,0,0.60008,0.00086593,-6.1208E-14,2.3771E-12,0.0017267,6.4802E-13,0.00086593,0,0,0,0,0,0,package://DROK CK/meshes/FR.STL,0.56863,0.54902,0.5098,1,0,0,0,0,0,0,package://DROK CK/meshes/FR.STL,,chain_asm_right-1/SUS40A35_().stp-1,FR CO,FR A,FR_JOINT,continuous,0.005,-0.1836,-0.096,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
FL,1.8068E-10,-1.471E-15,-8.8518E-10,0,0,0,0.60008,0.00086593,3.5253E-13,-1.0066E-12,0.0017267,4.6273E-13,0.00086593,0,0,0,0,0,0,package://DROK CK/meshes/FL.STL,0.56863,0.54902,0.5098,1,0,0,0,0,0,0,package://DROK CK/meshes/FL.STL,,chain_asm_left-1/SUS40A35_().stp-2,FL CO,FL A,FL_JOINT,continuous,0.005,0.1836,-0.096,0,0,0,base_link,0,1,0,,,,,,,,,,,,
BR,-1.8068E-10,1.4988E-15,-8.8518E-10,0,0,0,0.60008,0.00086593,3.5253E-13,1.0066E-12,0.0017267,-4.6273E-13,0.00086593,0,0,0,0,0,0,package://DROK CK/meshes/BR.STL,0.56863,0.54902,0.5098,1,0,0,0,0,0,0,package://DROK CK/meshes/BR.STL,,chain_asm_right-1/SUS40A35_().stp-2,BR CO,BR A,BR_JOINT,continuous,-0.545,-0.1836,-0.096,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
BL,-8.0574E-10,8.1879E-16,-2.5789E-10,0,0,0,0.60008,0.00086593,-6.1207E-14,-2.3771E-12,0.0017267,-6.4802E-13,0.00086593,0,0,0,0,0,0,package://DROK CK/meshes/BL.STL,0.56863,0.54902,0.5098,1,0,0,0,0,0,0,package://DROK CK/meshes/BL.STL,,chain_asm_left-1/SUS40A35_().stp-1,BL CO,BL A,BL_JOINT,continuous,-0.545,0.1836,-0.096,0,0,0,base_link,0,1,0,,,,,,,,,,,,
FRF,0.083282,-0.0023321,0.043617,0,0,0,2.6446,0.0026208,3.9073E-07,-0.0015913,0.0072646,2.1007E-07,0.004847,0,0,0,0,0,0,package://DROK CK/meshes/FRF.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://DROK CK/meshes/FRF.STL,,flipper_chain_asm_right-1;flipper_new-1,FRF CO,FR A,FRF_joint,revolute,0.005,-0.2306,-0.096,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
FLF,0.083471,0.0023321,0.043631,0,0,0,2.6446,0.0026208,-3.898E-07,-0.0015911,0.0072646,-2.3759E-07,0.004847,0,0,0,0,0,0,package://DROK CK/meshes/FLF.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://DROK CK/meshes/FLF.STL,,flipper_chain_asm_left-1;flipper_new-5,FLF CO,FL A,FLF_joint,revolute,0.005,0.2306,-0.096,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
BRF,-0.056521,-0.0023321,0.075125,0,0,0,2.6446,0.0042804,-2.7054E-07,0.0018635,0.0072646,3.5158E-07,0.0031875,0,0,0,0,0,0,package://DROK CK/meshes/BRF.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://DROK CK/meshes/BRF.STL,,flipper_chain_asm_right-2;flipper_new-2,BRF CO,BR A,BRF_joint,revolute,-0.545,-0.2306,-0.096,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
BLF,-0.056565,0.0023321,0.075309,0,0,0,2.6446,0.0042804,2.9755E-07,0.0018633,0.0072646,-3.4621E-07,0.0031874,0,0,0,0,0,0,package://DROK CK/meshes/BLF.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://DROK CK/meshes/BLF.STL,,flipper_chain_asm_left-2;flipper_new-6,BLF CO,BL A,BLF_joint,revolute,-0.545,0.2306,-0.096,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
